id;name;ra_deg;dec_deg;mag;const
bet_And;Mirach;17.4330;35.6206;2.06;And
gam_And;Almach;30.9749;42.3297;2.10;And
del_And;;9.8325;30.8609;3.27;And
mu__And;;14.1886;38.4993;3.87;And
nu__And;;13.9658;41.0792;4.53;And
alp_Peg;Markab;346.1902;15.2053;2.48;Peg
bet_Peg;Scheat;345.9436;28.0828;2.42;Peg
gam_Peg;Algenib;3.3090;15.1836;2.83;Peg
eps_Peg;Enif;326.0465;9.8750;2.38;Peg
zet_Peg;Homam;340.3651;10.8314;3.40;Peg
eta_Peg;Matar;340.7504;30.2213;2.94;Peg
the_Peg;Biham;331.4460;6.1979;3.53;Peg
mu__Peg;Sadalbari;339.2867;24.6017;3.48;Peg
alp_Ari;Hamal;31.7934;23.4624;2.00;Ari
bet_Ari;Sheratan;28.6600;20.8081;2.64;Ari
gam_Ari;Mesarthim;28.3827;19.2940;3.86;Ari
f41_Ari;Bharani;42.4958;27.2607;3.61;Ari
alp_Cnc;Acubens;134.6217;11.8577;4.26;Cnc
bet_Cnc;Tarf;124.1288;9.1856;3.53;Cnc
gam_Cnc;Asellus Borealis;130.8214;21.4685;4.66;Cnc
del_Cnc;Asellus Australis;131.1714;18.1543;3.94;Cnc
iot_Cnc;;127.5669;28.7603;4.02;Cnc
alp_Cet;Menkar;45.5699;4.0897;2.53;Cet
bet_Cet;Diphda;10.8973;-17.9866;2.04;Cet
gam_Cet;Kaffaljidhma;40.8250;3.2359;3.47;Cet
del_Cet;;39.8707;0.3285;4.07;Cet
eta_Cet;Deneb Algenubi;20.0213;-10.1820;3.45;Cet
iot_Cet;;4.8571;-8.8236;3.56;Cet
tau_Cet;;26.0170;-15.9375;3.50;Cet
zet_Cet;Baten Kaitos;28.5988;-10.3350;3.73;Cet
the_Cet;;26.3483;-8.1837;3.60;Cet
alp_Oph;Rasalhague;263.7336;12.5600;2.08;Oph
bet_Oph;Cebalrai;265.8682;4.5673;2.76;Oph
gam_Oph;;269.7566;2.7073;3.75;Oph
del_Oph;Yed Prior;243.5865;-3.6942;2.73;Oph
eps_Oph;Yed Posterior;244.5804;-4.6926;3.23;Oph
zet_Oph;;249.2897;-10.5671;2.56;Oph
eta_Oph;Sabik;257.5946;-15.7249;2.43;Oph
kap_Oph;;254.4173;9.3750;3.19;Oph
lam_Oph;Marfik;243.1866;1.9844;3.82;Oph
nu__Oph;;269.7566;-9.7734;3.32;Oph
alp_Psc;Alrescha;30.5121;2.7638;3.82;Psc
eta_Psc;Alpherg;22.8710;15.3459;3.62;Psc
gam_Psc;;349.2914;3.2822;3.69;Psc
omi_Psc;Torcular;26.3483;9.1578;4.26;Psc
iot_Psc;;355.5117;5.6275;4.13;Psc
the_Psc;;349.7167;6.3794;4.28;Psc
lam_Psc;;355.0829;1.7800;4.49;Psc
ome_Psc;;359.8283;6.8633;4.01;Psc
eps_Psc;;18.4372;7.8901;4.27;Psc
del_Psc;;11.7188;7.5850;4.43;Psc
nu__Psc;;24.6458;5.4881;4.44;Psc
xi__Psc;;26.2192;3.2882;4.61;Psc
mu__Psc;;24.1013;6.1436;4.84;Psc
al2_Cap;Algedi;304.5136;-12.5447;3.57;Cap
bet_Cap;Dabih;305.2528;-14.7814;3.05;Cap
gam_Cap;Nashira;325.0227;-16.6624;3.68;Cap
del_Cap;Deneb Algedi;326.7602;-16.1273;2.85;Cap
zet_Cap;;321.6667;-22.4111;3.74;Cap
the_Cap;;316.4869;-17.2328;4.07;Cap
ome_Cap;;312.9553;-26.9192;4.11;Cap
psi_Cap;;311.5231;-25.2706;4.13;Cap
alp_Aqr;Sadalmelik;331.4460;-0.3200;2.94;Aqr
bet_Aqr;Sadalsuud;322.8897;-5.5712;2.90;Aqr
gam_Aqr;Sadachbia;335.4140;-1.3870;3.84;Aqr
del_Aqr;Skat;343.6626;-15.8208;3.27;Aqr
eps_Aqr;Albali;311.9186;-9.4958;3.77;Aqr
zet_Aqr;;337.2107;-0.0200;3.65;Aqr
eta_Aqr;;338.8390;-0.1172;4.02;Aqr
lam_Aqr;;343.1536;-7.5796;3.74;Aqr
the_Aqr;Ancha;334.2084;-7.7833;4.16;Aqr
phi_Aqr;;348.5876;-6.0490;4.22;Aqr
alp_PsA;Fomalhaut;344.4127;-29.6222;1.16;PsA
alp_Hya;Alphard;141.8968;-8.6586;1.98;Hya
alp_Car;Canopus;95.9880;-52.6957;-0.74;Car
bet_Car;Miaplacidus;138.2999;-69.7172;1.68;Car
eps_Car;Avior;125.6284;-59.5095;1.86;Car
iot_Car;Aspidiske;139.2725;-59.2753;2.21;Car
alp_Eri;Achernar;24.4285;-57.2367;0.46;Eri
bet_Eri;Cursa;76.9625;-5.0864;2.79;Eri
the_Eri;Acamar;44.5653;-40.3047;2.88;Eri
alp_Cen;Rigil Kentaurus;219.9021;-60.8340;-0.27;Cen
bet_Cen;Hadar;210.9559;-60.3730;0.61;Cen
the_Cen;Menkent;211.6707;-36.3700;2.06;Cen
alp_Cru;Acrux;186.6496;-63.0991;0.77;Cru
bet_Cru;Mimosa;191.9303;-59.6888;1.25;Cru
gam_Cru;Gacrux;187.7915;-57.1133;1.63;Cru
del_Cru;Imai;183.7863;-58.7489;2.79;Cru
alp_Gru;Alnair;332.0583;-46.9610;1.74;Gru
bet_Gru;Tiaki;340.6670;-46.8846;2.11;Gru
alp_Pav;Peacock;306.4119;-56.7350;1.94;Pav
alp_TrA;Atria;252.1662;-69.0277;1.91;TrA
alp_Lup;Kakkab;220.4823;-47.3882;2.30;Lup
gam_Vel;Regor;122.3831;-47.3367;1.75;Vel
del_Vel;Alsephina;131.1760;-54.7086;1.96;Vel
lam_Vel;Suhail;136.9990;-43.4326;2.21;Vel
kap_Vel;Markeb;140.5284;-55.0107;2.50;Vel
zet_Pup;Naos;120.8961;-40.0031;2.25;Pup
pi__Pup;Ahadi;109.2857;-37.0975;2.71;Pup
rho_Pup;Tureis;121.8861;-24.3044;2.83;Pup
alp_Phe;Ankaa;6.5709;-42.3061;2.39;Phe
alp_Ara;Choo;262.9604;-49.8761;2.84;Ara
bet_Ara;;261.3249;-55.5299;2.85;Ara
alp_Col;Phact;84.9123;-34.0741;2.65;Col
bet_Col;Wazn;87.7399;-35.7683;3.12;Col
alp_Lep;Arneb;83.1825;-17.8222;2.58;Lep
bet_Lep;Nihal;82.0614;-20.7594;2.84;Lep
eps_Lep;;76.3658;-22.3714;3.19;Lep
mu__Lep;;78.2240;-16.2054;3.31;Lep
alp_Mon;;115.3118;-9.5510;3.93;Mon
bet_Mon;;100.2431;-7.0333;3.76;Mon
gam_Mon;;96.6395;-6.2748;3.98;Mon
bet_Crv;Kraz;188.5967;-23.3968;2.65;Crv
gam_Crv;Gienah Corvi;183.9515;-17.5419;2.59;Crv
del_Crv;Algorab;187.4661;-16.5157;2.95;Crv
eps_Crv;Minkar;184.9765;-22.6197;3.02;Crv
alp_Crv;Alchiba;182.1031;-24.7288;4.02;Crv
alp_Crt;Alkes;164.9436;-18.2988;4.08;Crt
alp_Lib;Zubenelgenubi;222.7196;-16.0417;2.75;Lib
bet_Lib;Zubeneschamali;229.2517;-9.3829;2.61;Lib
sig_Lib;Brachium;226.0176;-25.2819;3.29;Lib
gam_Lib;;233.8816;-14.7894;3.91;Lib
alp_Ser;Unukalhai;236.0670;6.4256;2.63;Ser
bet_Ser;;237.7042;15.4220;3.65;Ser
mu__Ser;;237.4040;-3.4303;3.53;Ser
eta_Ser;;275.3284;-2.8985;3.26;Ser
alp_Sct;;278.8024;-8.2442;3.85;Sct
gam_Sge;;299.6893;19.4924;3.47;Sge
del_Sge;;297.6958;18.5340;3.82;Sge
alp_Sge;Sham;295.0242;18.0139;4.37;Sge
alp_Del;Sualocin;309.3866;15.9120;3.77;Del
bet_Del;Rotanev;308.3031;14.5953;3.63;Del
gam_Del;;309.9971;16.1244;4.27;Del
eps_Del;Aldulfin;306.4119;11.3033;4.03;Del
alp_Equ;Kitalpha;318.9550;5.2478;3.92;Equ
alp_Lac;;332.9180;50.2825;3.77;Lac
alp_Lyn;;140.2638;34.3925;3.13;Lyn
alp_LMi;Praecipua;154.2743;34.2153;3.83;LMi
alp_CVn;Cor Caroli;194.0069;38.3184;2.89;CVn
bet_CVn;Chara;188.4355;41.3575;4.24;CVn
alp_Com;Diadem;197.9682;17.5292;4.32;Com
alp_Tri;Mothallah;28.2703;29.5789;3.41;Tri
bet_Tri;;32.3856;34.9871;3.00;Tri
gam_Tri;;34.3287;33.8473;4.01;Tri
alp_Cam;;73.5122;66.3428;4.29;Cam
bet_Cam;;75.2442;60.4423;4.03;Cam
alp_Vul;Anser;292.1762;24.6650;4.44;Vul
alp_Pyx;;130.8983;-33.1863;3.68;Pyx
alp_Ant;;142.3117;-31.0678;4.25;Ant
alp_For;Dalim;48.0188;-28.9877;3.87;For
alp_Scl;;14.6414;-29.3572;4.31;Scl
alp_Ret;;63.6058;-62.4738;3.35;Ret
alp_Dor;;68.4988;-55.0450;3.27;Dor
alp_Hor;;63.5029;-42.2942;3.85;Hor
alp_Pic;;96.8871;-61.9414;3.24;Pic
alp_Mus;;189.2959;-69.1357;2.69;Mus
alp_Cir;;220.0871;-64.9753;3.19;Cir
alp_Aps;;220.6294;-79.0447;3.83;Aps
alp_Tuc;;334.6255;-60.2597;2.86;Tuc
alp_Hyi;;29.6924;-61.5699;2.86;Hyi
bet_Hyi;;6.4380;-77.2543;2.80;Hyi
alp_Ind;;309.3512;-47.2915;3.11;Ind
alp_Tel;;276.7433;-45.9683;3.51;Tel
gam_Nor;;246.0489;-50.1556;4.02;Nor
alp_Sex;;151.8579;-0.3722;4.49;Sex
alp_Vol;;141.1700;-66.3961;4.00;Vol
alp_Cha;;122.0000;-76.9200;4.07;Cha
alp_Men;;92.6069;-74.7531;5.09;Men
alp_Cae;;70.1442;-41.8639;4.44;Cae
the_Dra_x;;275.9333;58.5644;4.01;Dra
